TimeStamp,Latitude,Longitude
1691125101,29.8683,31.05836
1691125111,29.86815,31.06098
1691125121,29.86807,31.06376
1691125131,29.86795,31.0666
1691125141,29.86739,31.06927
1691125151,29.86634,31.07167
1691125161,29.86521,31.07405
1691125171,29.86407,31.07656
1691125181,29.86304,31.07884
1691125191,29.86211,31.08085
1691125202,29.86134,31.08248
1691125210,29.86092,31.08293
1691125222,29.86064,31.08314
1691125231,29.86051,31.08335
1691125237,29.86045,31.08347
1691125243,29.86045,31.08352
1691125262,29.86033,31.0841
1691125272,29.86013,31.08505
1691125282,29.85964,31.08626
1691125292,29.85899,31.08781
1691125302,29.85823,31.08946
1691125312,29.85738,31.09131
1691125322,29.85643,31.09339
1691125332,29.85541,31.09567
1691125342,29.85434,31.09803
1691125352,29.85325,31.10049
1691125363,29.85185,31.10307
1691125373,29.85043,31.10522
